YEAR,WK,DT,MN,MWSP,..MAX,..MIN,.VP1,.VP2,RH1,RH2,D1,D2,.SSH
2019,1,1,1,3.5,31.2,19.2,16.3,14.5,84,46,32,32,6.7
2019,1,2,1,3.6,30.6,17.2,16.2,11.6,98,35,32,2,5
2019,1,3,1,2.9,31,14.6,13.3,13.1,96,38,2,34,9.3
2019,1,4,1,2.6,32.2,14.8,13.2,13.4,92,39,27,16,9
2019,1,5,1,3.6,31.8,15.4,13.3,14.7,88,44,36,34,8.8
2019,1,6,1,3,32.2,15.4,14.4,11.4,94,32,2,34,8.7
2019,1,7,1,3,32,15.8,14.1,14.2,96,39,29,2,7.9
2019,2,8,1,3.2,32.8,19.2,18,12.5,90,33,2,7,8.7
2019,2,9,1,3.3,33.2,16,14,10.2,94,27,29,34,9.1
2019,2,10,1,3.4,33.4,14.6,13,12.3,92,34,32,29,9
2019,2,11,1,5,33.4,17.4,14.2,89,39,3.8,11,9.3,0
2019,2,12,1,32,32.6,18.2,14.6,91,40,3.5,32,8.6,0
2019,2,13,1,2,32.6,17.2,14.3,89,40,3.3,2,8.8,0
2019,2,14,1,2,32.4,21.2,14.6,83,40,3.8,2,4.4,0
2019,3,15,1,5,32.8,19.2,11.2,89,31,3.5,5,7.9,0
2019,3,16,1,2,33.6,17.4,12.5,83,33,3.4,34,8.2,0
2019,3,17,1,29,33.2,16.2,12.3,88,34,4.1,29,7,0
2019,3,18,1,2,32.4,18,13.2,89,39,3.8,11,8.3,0
2019,3,19,1,34,32,15.2,14.2,90,39,3.2,14,5.5,0
2019,3,20,1,2,32.2,15.8,11.1,85,33,2.8,5,8.8,0
2019,3,21,1,29,31.8,15.8,11.8,81,37,2.7,34,4.5,0
2019,4,22,1,2.2,31,15.2,12.4,12.2,86,34,2,32,2.3
2019,4,23,1,2,33,18.4,12.1,95,32,3.3,7,9,0
2019,4,24,1,2,33.8,17.8,13.9,96,35,4,5,9.2,0
2019,4,25,1,4.2,34.2,22.4,18.6,15,82,39,99,5,8.9
2019,4,26,1,4.2,34.8,20.6,18.4,16.6,92,43,5,5,7.6
2019,4,27,1,5,34.2,23.2,16.2,85,42,4.2,2,7.1,0
2019,4,28,1,4.6,33.4,21,18.4,17.7,92,46,5,2,7.8
2019,5,29,1,4.7,33.4,22.4,18.4,16.8,82,49,2,7,6.9
2019,5,30,1,36,32.8,20.2,14.4,86,38,3.9,7,4.3,0
2019,5,31,1,34,33.8,20.6,13.1,86,36,5.4,34,8.8,0
2019,5,1,2,34,33.2,20.2,14.5,81,38,5.1,7,8.3,0
2019,5,2,2,34,33.2,20.2,14.6,86,39,4.5,34,7.3,0
2019,5,3,2,2,32.8,22.2,14.2,78,39,4.5,11,8.4,0
2019,5,4,2,2,34.6,22.2,17.9,79,48,4.4,7,8.9,0
2019,6,5,2,2,33.6,24.4,18.9,81,58,5.4,5,3,0
2019,6,6,2,2,30.6,22.8,16.7,90,43,3,16,0,0
2019,6,7,2,2,34.4,21.6,16.1,85,39,4.4,2,6.5,0
2019,6,8,2,2,34.8,21.4,17.1,82,42,3.9,11,8.5,0
2019,6,9,2,32,35.2,23.2,21,77,71,3.9,5,7.5,0
2019,6,10,2,32,34.4,23.4,22.9,94,84,3,2,3,0.6
2019,6,11,2,2,34.4,22.2,15.6,100,39,4,2,3.5,0
2019,7,12,2,2,34.8,21.8,16.5,87,41,5.6,7,8.5,0
2019,7,13,2,5,34.8,20.2,14.8,88,37,6.6,2,9.1,0
2019,7,14,2,2,34,19.8,17.4,89,44,5.1,5,9.1,0
2019,7,15,2,5,35.2,24.2,17.7,81,43,5.4,2,9.4,0
2019,7,16,2,7,36,22.8,16.8,84,40,5.6,11,9.5,0
2019,7,17,2,2,35.6,22.2,16.5,91,40,4.7,14,9.8,0
2019,7,18,2,5,38.2,21.2,18.7,88,43,5,11,9.6,0
2019,8,19,2,5.3,36.8,24,23.1,19.2,94,46,2,11,8.6
2019,8,20,2,5.9,36.6,23,21.9,14.3,92,33,2,11,8.6
2019,8,21,2,2,36,20.6,13.7,88,31,6.1,11,9.1,0
2019,8,22,2,2,36,20,15.3,81,38,6.1,11,9.7,0
2019,8,23,2,5,35.8,18.8,13.6,77,32,5.5,2,9.8,0
2019,8,24,2,32,36.2,16.2,13.3,82,30,4.7,5,9.7,0
2019,8,25,2,5,37.6,18.4,14.6,89,34,5,11,10.4,0
2019,9,26,2,2,36.6,21.4,15.3,85,33,4.4,5,10,0
2019,9,27,2,2,37.2,22,16,98,34,5.1,29,8.9,0
2019,9,28,2,5.1,38.2,22.8,18.3,17,78,36,2,7,9
2019,9,1,3,5,37.8,22.6,17.8,84,40,4.8,7,7.7,0
2019,9,2,3,2,36.8,23.4,15.3,87,34,6.5,2,9.2,0
2019,9,3,3,32,36.8,21.2,16.3,84,37,5.6,34,7.8,0
2019,9,4,3,7,37,23.4,18.3,77,43,4.8,14,9.3,0
2019,10,5,3,7,37,22,15.7,84,34,4.9,23,4.8,0
2019,10,6,3,34,38.6,23.4,16.5,92,32,4.7,11,9.3,0
2019,10,7,3,7,39,24.2,18,85,34,5,7,7.8,0
2019,10,8,3,29,39.8,23,17.4,84,36,6.2,14,8.9,0
2019,10,9,3,2,38.8,22.8,17.1,86,35,5.7,11,8.6,0
2019,10,10,3,34,37.8,22.8,16.9,83,35,6.1,14,6.6,0
2019,10,11,3,5,37.8,23.4,13.2,79,29,4.8,11,8.6,0
2019,11,12,3,2,37.4,21.4,11.7,79,26,5,11,9.3,0
2019,11,13,3,7,37,19.4,14.9,76,33,5,11,9.1,0
2019,11,14,3,34,37,20.6,15.9,83,36,5.3,7,9,0
2019,11,15,3,2,38.2,18.6,13.9,66,31,4.3,16,9.4,0
2019,11,16,3,5,37.2,22.6,15.2,80,33,5.8,2,8.8,0
2019,11,17,3,5,36.6,23.2,13.4,83,30,5.3,32,7.6,0
2019,11,18,3,32,37,22.8,15.3,81,34,5.2,32,9.1,0
2019,12,19,3,32,37.4,24.2,16.3,80,34,5.2,11,7.4,0
2019,12,20,3,32,37.6,25.2,15.6,73,33,5.2,32,9.1,0
2019,12,21,3,2,37.4,23.4,14.5,79,32,4.9,11,8.6,0
2019,12,22,3,2,38,25.4,15,72,30,5.4,7,8.8,0
2019,12,23,3,2,38,23.6,14.8,73,32,5,7,8.9,0
2019,12,24,3,2,38.8,21.8,14,78,32,5.3,7,9.1,0
2019,12,25,3,7,39,22.2,15.3,83,30,5.7,7,9.2,0
2019,13,26,3,5.9,38.8,19.8,16.1,16.9,73,34,2,2,9.1
2019,13,27,3,4.9,38.2,20.8,18,14.8,74,30,2,11,9.1
2019,13,28,3,4.8,38,20.8,16.6,16.2,79,33,2,11,9
2019,13,29,3,4.9,39,20.2,14.2,15.5,69,29,32,16,9.2
2019,13,30,3,5.1,39.2,21.2,16.1,14.6,73,28,5,20,9.5
2019,13,31,3,5.6,39.4,21.8,14.5,17.5,57,33,5,16,9.4
2019,13,1,4,4.9,40,21.8,15.2,17.9,67,34,2,11,9.2
2019,14,2,4,5.5,39.8,22.2,21,20.1,84,40,7,11,9.2
2019,14,3,4,3.6,39,23,22.4,21.6,85,47,7,11,8.7
2019,14,4,4,8.4,37.2,22.6,21.1,20.8,79,44,29,11,8.8
2019,14,5,4,5.4,37.2,24.2,18.8,19.8,69,38,11,2,9.2
2019,14,6,4,5.5,39.6,23.2,19.8,18.6,78,37,7,2,9.4
2019,14,7,4,4.8,39.4,22.6,19,17.5,74,33,2,7,9.7
2019,14,8,4,5.7,39.8,23.2,22.9,23.3,84,49,2,20,9.4
